NN name,sum time,number of episodes,sum of ranks,number of hits,my score,best score,number of movements,sum loss,sum accuracy,action frequency
2024-05-05-22-39-31,2929,200,1644,146,26452,147844,71376,142.9,128.2,"[14836, 1571, 1562, 1119, 2005, 2923, 554, 2365, 4061, 558, 488, 6187, 1107, 205, 2352, 3970, 630, 1347, 344, 1500, 1795, 104, 2849, 355, 2151, 599, 1519, 822, 520, 127, 1487, 348, 67, 298, 282, 659, 3846, 502, 301, 98, 252, 2070, 409, 32]"
2024-05-06-08-36-17,3028,200,1658,383,26895,147927,65131,19400.4,176.9,"[1507, 17976, 3665, 411, 922, 1724, 283, 87, 151, 0, 938, 3, 3295, 343, 0, 5, 1604, 406, 477, 255, 14, 390, 645, 446, 3908, 302, 196, 7, 117, 2574, 23, 14, 14971, 332, 2200, 3327, 223, 26, 52, 93, 348, 600, 17, 54]"
2024-05-06-15-08-22,2811,200,1691,220,23139,147575,62198,274.8,142.7,"[5, 939, 0, 724, 607, 1922, 430, 8, 275, 1, 1586, 2277, 0, 5178, 4681, 2908, 0, 615, 6262, 2698, 289, 851, 1, 0, 5408, 244, 277, 0, 21, 1944, 1060, 1122, 2186, 0, 0, 55, 12821, 210, 275, 1168, 404, 623, 1843, 80]"
2024-05-06-18-16-46,1789,200,1740,319,21375,148424,54287,19769.8,172.2,"[35, 13, 912, 2, 35, 362, 8, 2806, 68, 379, 184, 876, 140, 644, 83, 6, 0, 1285, 32, 108, 113, 304, 19, 405, 390, 3, 3, 21, 119, 1761, 1025, 5609, 0, 4373, 941, 3, 10237, 4, 174, 733, 8403, 936, 1, 10532]"
2024-05-06-19-37-57,2042,200,1621,179,28372,148562,77506,120.2,123.3,"[27169, 359, 467, 751, 894, 1447, 2016, 3507, 2246, 801, 653, 377, 1688, 0, 321, 3777, 1109, 783, 1690, 557, 38, 2014, 1068, 467, 312, 10, 684, 499, 509, 2003, 360, 146, 578, 876, 4799, 1045, 4404, 367, 227, 454, 4819, 229, 416, 370]"
2024-05-06-22-40-00,2578,200,1669,257,25277,149288,64901,40058.8,174.39999999999998,"[8319, 90, 371, 81, 58, 931, 1558, 2960, 342, 79, 778, 3173, 817, 63, 1883, 418, 7299, 1077, 275, 113, 13004, 127, 1789, 84, 545, 469, 75, 3705, 44, 51, 273, 390, 4350, 398, 900, 723, 2631, 202, 919, 1069, 1319, 555, 208, 186]"
2024-05-07-12-50-53,1936,200,1699,252,23735,148519,59623,17997.8,171.9,"[2195, 986, 312, 43, 20, 1236, 8, 6602, 531, 1607, 2, 0, 7264, 3988, 3, 2605, 635, 16, 19, 70, 54, 87, 389, 18, 330, 2727, 12702, 1297, 37, 1, 106, 8, 625, 119, 0, 742, 3632, 1017, 426, 627, 1, 2447, 2580, 1309]"
2024-05-07-19-24-30,2514,200,1658,270,25648,149111,64709,12820.5,170.2,"[2184, 146, 546, 253, 805, 242, 32, 754, 2624, 798, 195, 8198, 182, 843, 4527, 2603, 2540, 3752, 1747, 7822, 1596, 489, 1315, 537, 504, 4627, 796, 3506, 1106, 57, 119, 342, 328, 274, 38, 2615, 518, 977, 501, 224, 1099, 866, 220, 1062]"
2024-05-07-22-28-40,2145,200,1704,128,22510,150075,63250,16435.9,174.8,"[624, 482, 242, 1997, 5421, 54, 107, 45, 75, 175, 10, 2034, 3, 2148, 131, 8123, 128, 18, 157, 2278, 200, 107, 2363, 16, 354, 335, 0, 116, 27, 9817, 276, 316, 768, 62, 607, 19906, 46, 219, 1004, 99, 4, 1111, 1045, 0]"
2024-05-08-23-24-54,1871,200,1702,270,24182,147418,62579,5593.2,167.7,"[590, 51, 5491, 487, 2132, 285, 1, 142, 453, 161, 259, 21, 342, 364, 63, 0, 13900, 0, 592, 326, 2, 0, 55, 0, 3444, 223, 13, 6, 311, 9394, 7, 72, 805, 1213, 192, 12204, 929, 2725, 18, 703, 949, 72, 3382, 0]"
