100.0 0.0 2.34971710350393 2.34971710350393 3.0 244.16976887302934 307.11320292672616 0 100.0 0.0 1.1391280289669388 1.1391280289669388 3.0 242.25408258416007 542.8925324497252 0 100.0 0.0 3.7108974248419573 3.7108974248419573 3.0 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 2.549413805180856 3.0 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 6.067953165293113 3.0 120.40014327665192 110.11426288095946 0 100.0 0.0 5.688862062996948 5.688862062996948 3.0 189.06765402037277 186.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 3.0 93.79011885261396 233.79390950119253 0 100.0 0.0 0.26884241017751415 0.26884241017751415 3.0 523.0371072566136 292.1516863797522 0 100.0 0.0 6.267534274928006 6.267534274928006 3.0 744.4369451055384 460.31926666336284 0 100.0 0.0 0.943590604154068 0.943590604154068 3.0 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|10
100.0 0.0 2.175184178304497 2.0006512531050644 2.9 244.16976887302934 307.11320292672616 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.9 242.25408258416007 542.8925324497252 0 100.0 0.0 3.88543035004139 3.88543035004139 2.9 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 2.898479655579722 2.9 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 5.718887314894247 2.9 120.40014327665192 110.11426288095946 0 100.0 0.0 5.863394988196381 5.863394988196381 2.9 189.06765402037277 186.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.9 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0943094849780812 0.0943094849780812 2.9 523.0371072566136 292.1516863797522 0 100.0 0.0 0.0 0.0 2.9 744.4369451055384 460.31926666336284 0 100.0 0.0 0.7690576789546351 0.7690576789546351 2.9 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|9
100.0 -1.0 2.34971710350393 2.0006512531050644 2.8 243.45809675364376 307.8157147020646 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.8 242.25408258416007 542.8925324497252 0 100.0 0.0 4.059963275240823 4.059963275240823 2.8 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.247545505978588 2.8 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 5.369821464495382 2.8 120.40014327665192 110.11426288095946 0 100.0 0.0 6.037927913395814 6.037927913395814 2.8 189.06765402037277 186.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.8 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.8 523.0371072566136 292.1516863797522 0 100.0 1.0 0.0 0.0 2.8 744.4369451055384 461.31926666336284 0 100.0 0.0 0.5945247537552021 0.5945247537552021 2.8 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|0
100.0 -2.0 2.1882741476944543 1.664675372096156 2.6999999999999997 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.6999999999999997 242.25408258416007 542.8925324497252 0 100.0 0.0 4.2344962004402555 4.2344962004402555 2.6999999999999997 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.596611356377454 2.6999999999999997 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 5.020755614096516 2.6999999999999997 120.40014327665192 110.11426288095946 0 100.0 0.0 6.212460838595247 6.212460838595247 2.6999999999999997 189.06765402037277 186.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.6999999999999997 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.6999999999999997 523.0371072566136 292.1516863797522 0 100.0 2.0 0.0 0.0 2.6999999999999997 744.4369451055384 463.31926666336284 0 100.0 0.0 0.4199918285557691 0.4199918285557691 2.6999999999999997 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|36
100.0 0.0 2.1882741476944543 1.664675372096156 2.5999999999999996 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.5999999999999996 242.25408258416007 542.8925324497252 0 100.0 0.0 4.409029125639688 4.409029125639688 2.5999999999999996 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.5999999999999996 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 4.671689763697651 2.5999999999999996 120.40014327665192 110.11426288095946 0 100.0 0.0 0.0 0.0 2.5999999999999996 189.06765402037277 186.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.5999999999999996 93.79011885261396 233.79390950119253 0 100.0 1.0 0.0 0.0 2.5999999999999996 523.0371072566136 293.1516863797522 0 100.0 3.0 0.0 0.0 2.5999999999999996 744.4369451055384 466.31926666336284 0 100.0 0.0 0.24545890335633616 0.24545890335633616 2.5999999999999996 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|14
100.0 0.0 2.362807072893887 1.664675372096156 2.4999999999999996 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.4999999999999996 242.25408258416007 542.8925324497252 0 100.0 0.0 4.583562050839121 4.583562050839121 2.4999999999999996 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.4999999999999996 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 4.322623913298785 2.4999999999999996 120.40014327665192 110.11426288095946 0 100.0 1.0 0.0 0.0 2.4999999999999996 189.06765402037277 187.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.4999999999999996 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.4999999999999996 523.0371072566136 293.1516863797522 0 100.0 4.0 0.0 0.0 2.4999999999999996 744.4369451055384 470.31926666336284 0 100.0 0.0 0.07092597815690321 0.07092597815690321 2.4999999999999996 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|11
100.0 0.0 2.2755406102941707 1.4028759842970067 2.3999999999999995 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.3999999999999995 242.25408258416007 542.8925324497252 0 100.0 0.0 4.758094976038554 4.758094976038554 2.3999999999999995 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.3999999999999995 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 3.973558062899919 2.3999999999999995 120.40014327665192 110.11426288095946 0 100.0 2.0 0.0 0.0 2.3999999999999995 189.06765402037277 189.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.3999999999999995 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.3999999999999995 523.0371072566136 293.1516863797522 0 100.0 5.0 0.0 0.0 2.3999999999999995 744.4369451055384 475.31926666336284 0 100.0 0.0 0.0 0.0 2.3999999999999995 89.70057115195888 489.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|37
100.0 0.0 2.2755406102941707 1.4028759842970067 2.2999999999999994 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.2999999999999994 242.25408258416007 542.8925324497252 0 100.0 0.0 4.932627901237987 4.932627901237987 2.2999999999999994 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.2999999999999994 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 3.9715826586455965 2.2999999999999994 120.40014327665192 110.11426288095946 0 100.0 3.0 0.0 0.0 2.2999999999999994 189.06765402037277 192.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.2999999999999994 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.2999999999999994 523.0371072566136 293.1516863797522 0 100.0 6.0 0.0 0.0 2.2999999999999994 744.4369451055384 481.31926666336284 0 100.0 1.0 0.0 0.0 2.2999999999999994 89.70057115195888 490.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|12
100.0 0.0 2.2755406102941707 1.2283430590975737 2.1999999999999993 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.1999999999999993 242.25408258416007 542.8925324497252 0 100.0 0.0 5.107160826437419 5.107160826437419 2.1999999999999993 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.1999999999999993 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 3.9715826586455965 2.1999999999999993 120.40014327665192 110.11426288095946 0 100.0 4.0 0.0 0.0 2.1999999999999993 189.06765402037277 196.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.1999999999999993 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.1999999999999993 523.0371072566136 293.1516863797522 0 100.0 7.0 0.0 0.0 2.1999999999999993 744.4369451055384 488.31926666336284 0 100.0 2.0 0.0 0.0 2.1999999999999993 89.70057115195888 492.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|33
100.0 0.0 2.2755406102941707 1.1410765964978573 2.099999999999999 241.82741407134253 308.97367583683683 0 100.0 0.0 1.1391280289669388 1.1391280289669388 2.099999999999999 242.25408258416007 542.8925324497252 0 100.0 0.0 5.281693751636852 5.281693751636852 2.099999999999999 572.2626665148316 353.42763263003684 0 100.0 0.0 2.549413805180856 3.909178283383591 2.099999999999999 531.2071187269185 550.4766858783138 0 100.0 0.0 6.067953165293113 3.9715826586455965 2.099999999999999 120.40014327665192 110.11426288095946 0 100.0 5.0 0.0 0.0 2.099999999999999 189.06765402037277 201.0698972077561 0 100.0 0.0 4.893052497535309 4.893052497535309 2.099999999999999 93.79011885261396 233.79390950119253 0 100.0 0.0 0.0 0.0 2.099999999999999 523.0371072566136 293.1516863797522 0 100.0 8.0 0.0 0.0 2.099999999999999 744.4369451055384 496.31926666336284 0 100.0 3.0 0.0 0.0 2.099999999999999 89.70057115195888 495.6194021191195 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0|20
